month;year;Evaporation;Atmospheric_Demand
1;1980;4.099236828;33.78218807
2;1980;15.28919822;26.39682013
3;1980;31.34904408;56.42380518
4;1980;49.23558227;79.87494897
5;1980;81.20132568;97.93816086
6;1980;94.43408722;110.4190865
7;1980;97.56589271;113.1456172
8;1980;83.52342994;99.50629122
9;1980;49.03214985;75.59255643
10;1980;33.31808812;58.70346505
11;1980;12.02195143;62.95253829
12;1980;6.78340468;32.25600499
1;1981;9.136871248;34.03860153
2;1981;14.30046813;41.30030322
3;1981;25.51943266;70.68893639
4;1981;48.353345;70.67505893
5;1981;62.48250959;84.07689215
6;1981;78.31074869;97.29739027
7;1981;90.17280147;106.1811609
8;1981;74.92493532;93.62769847
9;1981;59.38646582;74.83166311
10;1981;38.41229186;52.65514302
11;1981;7.964900208;75.924985
12;1981;7.365161561;24.66440688
1;1982;4.790321329;39.79406916
2;1982;8.172067381;40.6957968
3;1982;23.64031255;54.22114925
4;1982;54.39143171;82.67988954
5;1982;75.45469868;92.78023401
6;1982;84.20749308;97.69928037
7;1982;68.15382148;95.27791631
8;1982;85.80661206;100.3229333
9;1982;52.98567236;70.75419845
10;1982;32.96280583;51.6572695
11;1982;10.98654507;29.38600717
12;1982;4.727910505;27.17242762
1;1983;1.198523794;41.21615171
2;1983;11.03721595;26.6648621
3;1983;26.27646417;51.74024134
4;1983;57.93859408;68.54484694
5;1983;74.77863247;88.02826166
6;1983;84.39393775;98.48332075
7;1983;86.06075607;103.1693711
8;1983;68.39559823;82.61209838
9;1983;55.69251174;65.17552481
10;1983;33.38803946;52.0981666
11;1983;11.14851903;35.97764505
12;1983;6.351156199;29.04580389
1;1984;9.374228057;20.82716246
2;1984;16.93497656;29.39070179
3;1984;36.44408947;54.51505021
4;1984;50.05289431;78.68091263
5;1984;67.8588571;83.47183275
6;1984;78.85420326;93.1646621
7;1984;77.24663535;94.21528208
8;1984;64.19705637;81.69103765
9;1984;62.35157366;69.17971718
10;1984;36.31168161;47.21019775
11;1984;13.4563251;39.11229313
12;1984;4.417555675;15.66528109
1;1985;8.293406446;21.78813071
2;1985;3.676941594;47.25598749
3;1985;24.10216476;42.65687481
4;1985;56.30410916;74.80737642
5;1985;79.33641748;92.41937205
6;1985;77.98172569;93.50062158
7;1985;73.26306501;91.12428834
8;1985;93.4466648;106.0897118
9;1985;49.00277171;66.31204918
10;1985;28.91081853;54.79800649
11;1985;15.60344853;32.48465929
12;1985;3.401811487;26.46157143
1;1986;5.725789641;28.55555767
2;1986;11.88345774;32.86505786
3;1986;34.44700009;44.64402282
4;1986;67.09122358;80.80018988
5;1986;56.12445751;76.89522745
6;1986;82.0861463;97.08218497
7;1986;88.91496358;99.30091945
8;1986;91.38391221;101.2977852
9;1986;58.65825326;71.43330903
10;1986;36.46203643;45.89434466
11;1986;12.36928865;31.28286315
12;1986;3.286104554;33.15627629
1;1987;4.656486591;48.60111628
2;1987;11.49770311;35.82703015
3;1987;24.12048739;45.99867538
4;1987;42.35720948;70.62470562
5;1987;84.4222113;96.41750425
6;1987;76.27430188;92.30100636
7;1987;90.09120683;102.902688
8;1987;78.7726851;93.11667229
9;1987;58.37329029;67.63632658
10;1987;33.86949293;43.64363892
11;1987;13.73800864;35.18249213
12;1987;4.060686639;44.25293153
1;1988;3.592589316;37.33920819
2;1988;14.15862528;27.00291489
3;1988;29.7074856;52.27068095
4;1988;58.80312457;76.20165846
5;1988;70.41569108;86.57395216
6;1988;79.79784166;94.99417883
7;1988;85.94742872;104.0812242
8;1988;76.98760368;92.96908154
9;1988;53.27280054;67.38105561
10;1988;34.26038472;59.57563516
11;1988;8.936072825;37.26902181
12;1988;4.215288073;42.01038819
1;1989;1.620151117;43.52378567
2;1989;10.40798263;26.17528389
3;1989;31.35990262;50.90296356
4;1989;71.72234275;83.83776124
5;1989;78.7037464;94.28572779
6;1989;87.42501435;99.9817173
7;1989;82.5002406;96.43463985
8;1989;88.31241764;99.1123513
9;1989;51.88333805;67.09824831
10;1989;31.80720346;54.96123976
11;1989;12.87901121;49.086086
12;1989;3.876854965;28.74920056
1;1990;3.593525107;35.81369274
2;1990;11.97367216;30.33876247
3;1990;31.54697921;47.61846878
4;1990;48.3719044;71.51442814
5;1990;71.87752852;86.98630065
6;1990;85.87904894;100.5974948
7;1990;86.19869028;100.0524132
8;1990;77.95854528;87.74002558
9;1990;55.34880929;72.14784338
10;1990;32.37428083;49.28523958
11;1990;16.58201018;34.41233881
12;1990;7.047509581;29.51489516
1;1991;5.246215225;32.77657442
2;1991;9.954773366;31.80785465
3;1991;33.468665;53.25676793
4;1991;63.83959995;76.459658
5;1991;70.61707233;96.51909819
6;1991;91.26424472;104.2207981
7;1991;97.28294243;114.1809279
8;1991;75.47060795;91.60211313
9;1991;56.98832995;68.0964531
10;1991;38.73937475;48.33685038
11;1991;15.89865521;28.16543718
12;1991;2.704319585;45.39675384
1;1992;1.035609185;38.94916337
2;1992;3.638357198;41.43196145
3;1992;25.57677823;44.28054168
4;1992;48.39190132;66.46070441
5;1992;74.46977179;89.67476911
6;1992;85.49563199;102.1201184
7;1992;84.84052382;106.1935203
8;1992;80.95011602;96.58074215
9;1992;52.23154437;66.69805341
10;1992;32.44723554;52.29679139
11;1992;10.69900433;44.38138039
12;1992;3.859400115;34.04190338
1;1993;0.858564966;40.05558996
2;1993;7.251531819;23.00066314
3;1993;26.15613663;44.05959327
4;1993;42.18953188;67.65428485
5;1993;75.86368821;91.21852972
6;1993;86.39500836;99.1301981
7;1993;86.27154322;98.60385085
8;1993;82.33548511;95.52288191
9;1993;58.20030802;67.87527891
10;1993;38.38882618;46.01558864
11;1993;8.864429705;31.51234956
12;1993;5.942293758;26.650775
1;1994;7.821276676;25.99372533
2;1994;8.35925133;29.15180205
3;1994;26.86119351;47.41656711
4;1994;66.22473362;87.54829378
5;1994;82.83279785;95.38572102
6;1994;77.09938154;90.17768269
7;1994;91.77789015;104.4154882
8;1994;78.02777117;91.73705302
9;1994;67.04572232;73.71324123
10;1994;37.09343146;47.28161329
11;1994;11.27047299;38.7288731
12;1994;1.992372575;33.13554506
1;1995;6.592388222;24.20608178
2;1995;16.30927577;30.31516884
3;1995;34.08379637;57.20897667
4;1995;51.20578186;72.19613143
5;1995;88.06538328;101.5404833
6;1995;88.87007108;103.0193453
7;1995;85.63977138;105.1877467
8;1995;83.12281624;95.69981118
9;1995;52.2510461;68.79918243
10;1995;27.29914872;51.9869784
11;1995;11.78125861;42.11802273
12;1995;4.140272455;23.54136986
1;1996;9.138140968;20.04502713
2;1996;16.89706843;33.04215876
3;1996;34.49567303;51.11391356
4;1996;53.83780061;80.43291385
5;1996;91.52525418;107.4272097
6;1996;76.38543247;93.72584674
7;1996;95.54570824;110.522529
8;1996;85.56352109;101.0765544
9;1996;54.42943602;72.56402143
10;1996;30.93063066;61.48688036
11;1996;18.9228456;25.98811185
12;1996;6.912229996;51.45820165
1;1997;4.16932378;49.14444769
2;1997;6.965837056;30.46367158
3;1997;20.7567044;41.86212896
4;1997;42.66319215;79.15358242
5;1997;82.34356985;97.78949951
6;1997;83.87759184;103.0491296
7;1997;81.07659097;102.6476175
8;1997;79.77383421;99.36756688
9;1997;49.28224035;64.92358536
10;1997;32.89028121;55.77519904
11;1997;17.45864946;26.77067773
12;1997;5.682035726;35.81556974
1;1998;6.20499619;31.48599665
2;1998;7.902004761;40.60883821
3;1998;22.21659259;60.53111329
4;1998;57.38674425;93.30995781
5;1998;78.61869921;105.2239455
6;1998;90.19671959;106.6550381
7;1998;99.47936759;115.3861734
8;1998;90.71652185;104.6050997
9;1998;58.42724605;73.0113638
10;1998;38.26741541;54.68246571
11;1998;13.68174247;43.57236818
12;1998;7.089519479;37.15916977
1;1999;11.14151469;21.41822677
2;1999;11.26867205;42.58753714
3;1999;33.88280979;53.65755277
4;1999;59.85526902;80.65063175
5;1999;74.70839306;94.30263324
6;1999;88.49348406;107.8003019
7;1999;103.766762;117.5838466
8;1999;86.35185254;102.0796883
9;1999;59.87406255;72.70791706
10;1999;32.31482774;56.23365249
11;1999;11.11697317;49.64590397
12;1999;6.488797572;19.11609391
1;2000;4.290452923;27.90255968
2;2000;9.821189932;31.39647167
3;2000;24.96048945;44.83394069
4;2000;62.91388664;91.25295882
5;2000;74.38366752;92.7176501
6;2000;81.87540564;98.43350104
7;2000;110.733602;121.6872522
8;2000;80.43318629;98.99156729
9;2000;60.05111343;76.66600049
10;2000;32.50188459;54.40527903
11;2000;18.60405197;25.856933
12;2000;6.560393959;27.35443415
1;2001;8.76719205;19.82955006
2;2001;12.99247481;40.09993535
3;2001;33.8558016;62.31693433
4;2001;59.78704354;84.83435642
5;2001;65.4382962;92.37289772
6;2001;93.12822619;106.2075646
7;2001;108.4224093;127.8292321
8;2001;92.63921747;112.9004276
9;2001;63.24106526;80.50727689
10;2001;31.71374937;60.7009301
11;2001;11.67259565;45.87491174
12;2001;4.472341286;43.40244423
1;2002;3.955725169;36.73801226
2;2002;12.39391582;45.61151468
3;2002;30.96628156;57.87017423
4;2002;49.21081582;77.62339926
5;2002;75.18307675;94.61759962
6;2002;72.83961711;99.32474224
7;2002;105.1957792;125.9578067
8;2002;86.62773933;107.9408781
9;2002;62.79089304;84.42099549
10;2002;33.85143767;68.92103489
11;2002;15.63363528;31.68648175
12;2002;2.718636573;42.29207344
1;2003;5.254962444;27.98188703
2;2003;7.419811881;40.73280374
3;2003;16.47644111;46.5702372
4;2003;42.11569885;71.14879865
5;2003;86.59135314;102.3936561
6;2003;94.15522868;106.8837668
7;2003;92.25908136;113.2409677
8;2003;88.46729611;104.6707619
9;2003;54.60768398;73.16695778
10;2003;30.51030769;67.19410026
11;2003;11.38537251;45.47669596
12;2003;4.331616467;36.19926729
1;2004;7.374882669;25.63088952
2;2004;6.301793257;47.65089325
3;2004;28.26129687;59.61549063
4;2004;50.94220902;82.62786073
5;2004;67.20152366;92.02634365
6;2004;84.85328436;105.9870364
7;2004;94.70919074;111.5465356
8;2004;87.68754067;110.9708209
9;2004;59.2991736;73.38822034
10;2004;34.54753147;65.00991251
11;2004;12.24098205;53.22339677
12;2004;2.801924733;49.19971908
1;2005;6.711362128;34.41086063
2;2005;14.26592128;32.90818841
3;2005;17.64757768;73.67819578
4;2005;48.54889424;84.891665
5;2005;72.10272728;100.1888337
6;2005;75.31415311;103.0988779
7;2005;103.28039;126.3052473
8;2005;87.2934475;112.6669737
9;2005;58.54803692;81.11707884
10;2005;26.0517417;87.484056
11;2005;11.4416173;43.12326476
12;2005;6.501914377;37.88731135
1;2006;3.133740589;54.01219199
2;2006;7.148056926;50.32217263
3;2006;28.515111;67.72078548
4;2006;50.96905588;79.08417543
5;2006;80.03122905;101.3068513
6;2006;97.98744048;115.8686761
7;2006;79.87719536;107.8992689
8;2006;104.7277579;117.1622123
9;2006;53.55597201;82.10058171
10;2006;33.5800408;60.23577952
11;2006;8.824344446;60.76693142
12;2006;4.449800585;45.8783193
1;2007;4.540665629;39.38679996
2;2007;10.2660326;38.13195092
3;2007;23.45155495;62.50394109
4;2007;34.31299928;77.99574221
5;2007;87.67827493;107.9844967
6;2007;84.44043453;109.5572416
7;2007;98.8608744;115.67171
8;2007;96.30443334;115.3937961
9;2007;65.82914696;83.04842988
10;2007;38.26710639;61.7609967
11;2007;8.957834012;67.12974117
12;2007;3.470295406;56.53318231
1;2008;6.624990611;31.74733555
2;2008;8.027090821;42.6429736
3;2008;32.71424555;69.73569884
4;2008;61.37665753;93.09504047
5;2008;65.36150503;96.56642076
6;2008;77.48404279;103.1884408
7;2008;92.82572657;117.0885061
8;2008;95.91350104;115.9231339
9;2008;56.24771199;88.95145251
10;2008;32.95505603;58.11687496
11;2008;14.65719835;37.57405966
12;2008;5.641141948;43.33089773
1;2009;4.556848909;46.42477321
2;2009;14.92197582;52.3157668
3;2009;27.75693211;69.63140189
4;2009;50.78769585;83.00392169
5;2009;81.03361588;104.4452222
6;2009;96.98573537;118.0821454
7;2009;90.9059753;122.1453291
8;2009;82.8781097;106.4929534
9;2009;50.17847372;83.04488508
10;2009;40.43798786;54.02986104
11;2009;11.60767623;57.16117972
12;2009;7.152601559;37.56757668
1;2010;5.939867109;50.42693498
2;2010;13.55217208;55.30000674
3;2010;26.30095224;75.62313247
4;2010;48.43305185;77.87123714
5;2010;83.5037781;103.334954
6;2010;99.09494294;124.7577628
7;2010;105.6316126;123.6421977
8;2010;102.0980728;112.7159488
9;2010;61.43808401;84.22609423
10;2010;25.4314359;74.02559706
11;2010;18.83126015;26.79976439
12;2010;9.578071093;32.55682733
1;2011;8.828335325;37.47052518
2;2011;6.386008951;60.46639832
3;2011;24.33764496;65.82335152
4;2011;36.10110396;79.55207776
5;2011;67.0763744;91.24960359
6;2011;76.95117989;105.7548238
7;2011;101.9111941;121.5402418
8;2011;86.50373829;104.9924486
9;2011;55.47150134;80.4210619
10;2011;30.00661675;70.05779863
11;2011;7.007130755;55.45637531
12;2011;4.713327311;24.44995578
1;2012;3.893822879;44.60651213
2;2012;7.048009428;44.01041784
3;2012;12.07087842;66.36631309
4;2012;64.72362999;83.95004817
5;2012;80.57900277;106.9140537
6;2012;91.64423686;117.3320002
7;2012;106.6301932;125.1216518
8;2012;83.5980229;108.9745991
9;2012;63.5187368;78.77779611
10;2012;36.73836384;68.28612892
11;2012;14.93438658;38.76933217
12;2012;5.64408507;51.45494828
1;2013;5.100789934;44.10633735
2;2013;15.12626294;49.17203214
3;2013;26.77208601;70.49384805
4;2013;58.14854267;85.76918645
5;2013;87.69262276;104.753971
6;2013;91.38998696;114.1698229
7;2013;79.78396341;116.9775207
8;2013;89.00305549;113.1770387
9;2013;49.52098507;81.28036959
10;2013;33.58248301;55.6843137
11;2013;16.44928652;37.56036557
12;2013;3.396391519;36.29563214
1;2014;6.438250768;44.59524711
2;2014;16.72252806;35.71348589
3;2014;32.15677977;70.40086654
4;2014;58.93943568;91.25233913
5;2014;77.98877857;103.5589308
6;2014;94.38124132;115.4909193
7;2014;104.0580523;125.6240144
8;2014;96.7852406;114.5534872
9;2014;55.15437794;81.75069301
10;2014;35.49732853;51.59183945
11;2014;12.54110644;47.95986279
12;2014;5.421752389;27.39551128
1;2015;9.279588424;29.5334758
2;2015;17.01023054;36.12439599
3;2015;33.98972106;56.56233953
4;2015;45.53248979;80.1631189
5;2015;77.65784051;92.22514201
6;2015;94.78908908;109.8506522
7;2015;94.40353245;107.8985502
8;2015;94.69311533;110.7713151
9;2015;70.01728391;75.44453181
10;2015;29.4057247;54.6612821
11;2015;11.21790517;44.82869157
12;2015;5.048344968;37.3605614
1;2016;2.417747549;30.96080079
2;2016;17.33037855;38.15399576
3;2016;30.4629145;63.23620816
4;2016;61.67063076;87.66814749
5;2016;73.88219175;98.05113842
6;2016;94.74320598;112.1584356
7;2016;92.20625078;115.8446574
8;2016;100.3709842;117.1247297
9;2016;52.38255244;73.04757094
10;2016;32.45375231;49.62702853
11;2016;14.01422661;31.56560915
12;2016;0.86945347;40.92910153
1;2017;4.978809637;30.71301584
2;2017;5.552946119;27.99567587
3;2017;36.14048527;57.38301251
4;2017;58.22080623;84.83165625
5;2017;65.31471879;94.30821727
6;2017;87.93427587;106.3727013
7;2017;100.5624898;116.3027108
8;2017;102.4569597;112.6369641
9;2017;66.41112684;77.46099063
10;2017;27.96769123;61.9197815
11;2017;13.86057244;37.43885448
12;2017;6.033813716;45.64119361
1;2018;6.721622819;40.80726118
2;2018;18.88971146;39.99636424
3;2018;28.57623764;70.68703522
4;2018;67.56396346;82.79662571
5;2018;82.69788674;100.8139016
6;2018;102.3064713;115.4656057
7;2018;99.64541674;116.4077147
8;2018;86.05800691;103.6351016
9;2018;56.97521487;73.87572332
10;2018;38.25049349;53.47126531
11;2018;15.09169045;39.49531417
12;2018;6.134548057;38.31469912
1;2019;7.740693668;28.83258891
2;2019;14.97534486;41.51570762
3;2019;31.92822426;56.96453509
4;2019;53.92443497;78.42238359
5;2019;87.22599327;102.8657786
6;2019;98.15227294;117.2866044
7;2019;93.55099986;114.0638443
8;2019;91.16670613;107.2530468
9;2019;58.65251607;74.85407177
10;2019;41.17889822;57.47313138
11;2019;18.47778485;31.57446807
12;2019;9.324203321;28.33308408
1;2020;8.104434106;31.38353576
2;2020;16.08586053;52.84154066
3;2020;43.8854036;64.91203399
4;2020;57.88058225;77.67063434
5;2020;80.36346908;101.4785955
6;2020;104.6987195;118.2230365
7;2020;103.4782691;120.199724
8;2020;88.20645181;104.0124803
9;2020;68.2638176;76.76083515
10;2020;41.51861087;50.56725741
11;2020;14.44446144;38.2149402
12;2020;9.378960748;23.37949821
